"Gene","gene_id","gene"
"DDX11L1","ENSG00000223972","ENSG00000223972"
"WASH7P","ENSG00000227232","ENSG00000227232"
"OR4G4P","ENSG00000268020","ENSG00000268020"
"OR4G11P","ENSG00000240361","ENSG00000240361"
"OR4F5","ENSG00000186092","ENSG00000186092"
"CICP27","ENSG00000233750","ENSG00000233750"
"ENSG00000268903",NA,"ENSG00000268903"
"ENSG00000269981",NA,"ENSG00000269981"
"DDX11L17","ENSG00000279928","ENSG00000279928"
"WASH9P","ENSG00000279457","ENSG00000279457"
"ENSG00000228463",NA,"ENSG00000228463"
"RPL23AP24","ENSG00000236679","ENSG00000236679"
"ENSG00000237094",NA,"ENSG00000237094"
"WBP1LP7","ENSG00000269732","ENSG00000269732"
"OR4F29","ENSG00000284733","ENSG00000284733"
"CICP7","ENSG00000233653","ENSG00000233653"
"ENSG00000250575",NA,"ENSG00000250575"
"ENSG00000230021",NA,"ENSG00000230021"
"MT-MTND1P23",NA,"MT-MTND1P23"
"MT-MTND2P28",NA,"MT-MTND2P28"
"MT-MTCO1P12",NA,"MT-MTCO1P12"
"MT-MTCO2P12",NA,"MT-MTCO2P12"
"MT-MTATP8P1",NA,"MT-MTATP8P1"
"MT-MTATP6P1",NA,"MT-MTATP6P1"
"MT-MTCO3P12",NA,"MT-MTCO3P12"
"WBP1LP6","ENSG00000268663","ENSG00000268663"
"OR4F16","ENSG00000284662","ENSG00000284662"
"CICP3","ENSG00000229376","ENSG00000229376"
"ENSG00000228327",NA,"ENSG00000228327"
"ENSG00000285268",NA,"ENSG00000285268"
"ENSG00000230092",NA,"ENSG00000230092"
"TUBB8P11","ENSG00000234711","ENSG00000234711"
"ENSG00000283040",NA,"ENSG00000283040"
"SAMD11","ENSG00000187634","ENSG00000187634"
"NOC2L","ENSG00000188976","ENSG00000188976"
"KLHL17","ENSG00000187961","ENSG00000187961"
"PLEKHN1","ENSG00000187583","ENSG00000187583"
"PERM1","ENSG00000187642","ENSG00000187642"
"HES4","ENSG00000188290","ENSG00000188290"
"ISG15","ENSG00000187608","ENSG00000187608"
"ENSG00000231702",NA,"ENSG00000231702"
"AGRN","ENSG00000188157","ENSG00000188157"
"ENSG00000217801",NA,"ENSG00000217801"
"RNF223","ENSG00000237330","ENSG00000237330"
"C1orf159","ENSG00000131591","ENSG00000131591"
"TTLL10","ENSG00000162571","ENSG00000162571"
"TNFRSF18","ENSG00000186891","ENSG00000186891"
"TNFRSF4","ENSG00000186827","ENSG00000186827"
"SDF4","ENSG00000078808","ENSG00000078808"
"B3GALT6","ENSG00000176022","ENSG00000176022"
"C1QTNF12","ENSG00000184163","ENSG00000184163"
"UBE2J2","ENSG00000160087","ENSG00000160087"
"SCNN1D","ENSG00000162572","ENSG00000162572"
"ACAP3","ENSG00000131584","ENSG00000131584"
"PUSL1","ENSG00000169972","ENSG00000169972"
"INTS11","ENSG00000127054","ENSG00000127054"
"CPTP","ENSG00000224051","ENSG00000224051"
"TAS1R3","ENSG00000169962","ENSG00000169962"
"DVL1","ENSG00000107404","ENSG00000107404"
"MXRA8","ENSG00000162576","ENSG00000162576"
"AURKAIP1","ENSG00000175756","ENSG00000175756"
"NDUFB4P8","ENSG00000223663","ENSG00000223663"
"CCNL2","ENSG00000221978","ENSG00000221978"
"MRPL20","ENSG00000242485","ENSG00000242485"
"ANKRD65","ENSG00000235098","ENSG00000235098"
"TMEM88B","ENSG00000205116","ENSG00000205116"
"VWA1","ENSG00000179403","ENSG00000179403"
"ATAD3C","ENSG00000215915","ENSG00000215915"
"ATAD3B","ENSG00000160072","ENSG00000160072"
"ENSG00000284740",NA,"ENSG00000284740"
"ATAD3A","ENSG00000197785","ENSG00000197785"
"TMEM240","ENSG00000205090","ENSG00000205090"
"SSU72","ENSG00000160075","ENSG00000160075"
"ENSG00000274481",NA,"ENSG00000274481"
"FNDC10","ENSG00000228594","ENSG00000228594"
"MIB2","ENSG00000197530","ENSG00000197530"
"MMP23B","ENSG00000189409","ENSG00000189409"
"CDK11B","ENSG00000248333","ENSG00000248333"
"SLC35E2B","ENSG00000189339","ENSG00000189339"
"ENSG00000269737",NA,"ENSG00000269737"
"MMP23A","ENSG00000215914","ENSG00000215914"
"CDK11A","ENSG00000008128","ENSG00000008128"
"ENSG00000227775",NA,"ENSG00000227775"
"SLC35E2A","ENSG00000215790","ENSG00000215790"
"NADK","ENSG00000008130","ENSG00000008130"
"GNB1","ENSG00000078369","ENSG00000078369"
"CALML6","ENSG00000169885","ENSG00000169885"
"TMEM52","ENSG00000178821","ENSG00000178821"
"CFAP74","ENSG00000142609","ENSG00000142609"
"GABRD","ENSG00000187730","ENSG00000187730"
"PRKCZ","ENSG00000067606","ENSG00000067606"
"FAAP20","ENSG00000162585","ENSG00000162585"
"SKI","ENSG00000157933","ENSG00000157933"
"MORN1","ENSG00000116151","ENSG00000116151"
"ENSG00000269896",NA,"ENSG00000269896"
"RER1","ENSG00000157916","ENSG00000157916"
"PEX10","ENSG00000157911","ENSG00000157911"
"PLCH2","ENSG00000276429","ENSG00000276429"
"PANK4","ENSG00000273494","ENSG00000273494"
"HES5","ENSG00000273529","ENSG00000273529"
"TNFRSF14","ENSG00000273936","ENSG00000273936"
"PRXL2B","ENSG00000275125","ENSG00000275125"
"MMEL1","ENSG00000277131","ENSG00000277131"
"TTC34","ENSG00000275571","ENSG00000275571"
"ACTRT2","ENSG00000169717","ENSG00000169717"
"PRDM16","ENSG00000142611","ENSG00000142611"
"ARHGEF16","ENSG00000130762","ENSG00000130762"
"MEGF6","ENSG00000162591","ENSG00000162591"
"TPRG1L","ENSG00000158109","ENSG00000158109"
"WRAP73","ENSG00000116213","ENSG00000116213"
"TP73","ENSG00000078900","ENSG00000078900"
"TP73-AS1","ENSG00000227372","ENSG00000227372"
"CCDC27","ENSG00000162592","ENSG00000162592"
"SMIM1","ENSG00000235169","ENSG00000235169"
"LRRC47","ENSG00000130764","ENSG00000130764"
"CEP104","ENSG00000116198","ENSG00000116198"
"DFFB","ENSG00000169598","ENSG00000169598"
"C1orf174","ENSG00000198912","ENSG00000198912"
"EEF1DP6","ENSG00000229280","ENSG00000229280"
"AJAP1","ENSG00000196581","ENSG00000196581"
"MT-ENSG00000283356",NA,"MT-ENSG00000283356"
"NPHP4","ENSG00000131697","ENSG00000131697"
"KCNAB2","ENSG00000069424","ENSG00000069424"
"CHD5","ENSG00000116254","ENSG00000116254"
"ENSG00000285629",NA,"ENSG00000285629"
"RPL22","ENSG00000116251","ENSG00000116251"
"RNF207","ENSG00000158286","ENSG00000158286"
"ICMT","ENSG00000116237","ENSG00000116237"
"HES3","ENSG00000173673","ENSG00000173673"
"GPR153","ENSG00000158292","ENSG00000158292"
"ACOT7","ENSG00000097021","ENSG00000097021"
"HES2","ENSG00000069812","ENSG00000069812"
"ESPN","ENSG00000187017","ENSG00000187017"
"TNFRSF25","ENSG00000215788","ENSG00000215788"
"PLEKHG5","ENSG00000171680","ENSG00000171680"
"NOL9","ENSG00000162408","ENSG00000162408"
"ENSG00000229519",NA,"ENSG00000229519"
"TAS1R1","ENSG00000173662","ENSG00000173662"
"ZBTB48","ENSG00000204859","ENSG00000204859"
"KLHL21","ENSG00000162413","ENSG00000162413"
"PHF13","ENSG00000116273","ENSG00000116273"
"THAP3","ENSG00000041988","ENSG00000041988"
"DNAJC11","ENSG00000007923","ENSG00000007923"
"CAMTA1","ENSG00000171735","ENSG00000171735"
"ENSG00000227950",NA,"ENSG00000227950"
"VAMP3","ENSG00000049245","ENSG00000049245"
"PER3","ENSG00000049246","ENSG00000049246"
"UTS2","ENSG00000049247","ENSG00000049247"
"TNFRSF9","ENSG00000049249","ENSG00000049249"
"ENSG00000270330",NA,"ENSG00000270330"
"PARK7","ENSG00000116288","ENSG00000116288"
"ERRFI1","ENSG00000116285","ENSG00000116285"
"ENSG00000232848",NA,"ENSG00000232848"
"ENSG00000229305",NA,"ENSG00000229305"
"SLC45A1","ENSG00000162426","ENSG00000162426"
"RERE","ENSG00000142599","ENSG00000142599"
"ENSG00000270282",NA,"ENSG00000270282"
"RPL7P11","ENSG00000234619","ENSG00000234619"
"RPL7P7","ENSG00000224315","ENSG00000224315"
"ENSG00000226545",NA,"ENSG00000226545"
"RPL23AP19","ENSG00000229716","ENSG00000229716"
"ENO1","ENSG00000074800","ENSG00000074800"
"HMGN2P17","ENSG00000238249","ENSG00000238249"
"ENSG00000232208",NA,"ENSG00000232208"
"ENSG00000232663",NA,"ENSG00000232663"
"CA6","ENSG00000131686","ENSG00000131686"
"SLC2A7","ENSG00000197241","ENSG00000197241"
"SLC2A5","ENSG00000142583","ENSG00000142583"
"GPR157","ENSG00000180758","ENSG00000180758"
"H6PD","ENSG00000049239","ENSG00000049239"
"SPSB1","ENSG00000171621","ENSG00000171621"
"RNA5SP40","ENSG00000252956","ENSG00000252956"
"SLC25A33","ENSG00000171612","ENSG00000171612"
"ENSG00000231181",NA,"ENSG00000231181"
"TMEM201","ENSG00000188807","ENSG00000188807"
"PIK3CD","ENSG00000171608","ENSG00000171608"
"ENSG00000233268",NA,"ENSG00000233268"
"CLSTN1","ENSG00000171603","ENSG00000171603"
"MZT1P1","ENSG00000271264","ENSG00000271264"
"CTNNBIP1","ENSG00000178585","ENSG00000178585"
"LZIC","ENSG00000162441","ENSG00000162441"
"NMNAT1","ENSG00000173614","ENSG00000173614"
"TMEM274P","ENSG00000283611","ENSG00000283611"
"RBP7","ENSG00000162444","ENSG00000162444"
"UBE4B","ENSG00000130939","ENSG00000130939"
"ENSG00000224340",NA,"ENSG00000224340"
"PGAM1P11","ENSG00000233623","ENSG00000233623"
"KIF1B","ENSG00000054523","ENSG00000054523"
"PGD","ENSG00000142657","ENSG00000142657"
"CENPS-CORT","ENSG00000251503","ENSG00000251503"
"CENPS","ENSG00000175279","ENSG00000175279"
"CORT","ENSG00000241563","ENSG00000241563"
"DFFA","ENSG00000160049","ENSG00000160049"
"PEX14","ENSG00000142655","ENSG00000142655"
"CASZ1","ENSG00000130940","ENSG00000130940"
"HSPE1P24","ENSG00000225158","ENSG00000225158"
"C1orf127","ENSG00000175262","ENSG00000175262"
"CFL1P6","ENSG00000215785","ENSG00000215785"
"TARDBP","ENSG00000120948","ENSG00000120948"
"ENSG00000277726",NA,"ENSG00000277726"
"MASP2","ENSG00000009724","ENSG00000009724"
"SRM","ENSG00000116649","ENSG00000116649"
"EXOSC10","ENSG00000171824","ENSG00000171824"
"MTOR","ENSG00000198793","ENSG00000198793"
"ANGPTL7","ENSG00000171819","ENSG00000171819"
"RPL39P6","ENSG00000238173","ENSG00000238173"
"UBIAD1","ENSG00000120942","ENSG00000120942"
"UBE2V2P3","ENSG00000238199","ENSG00000238199"
"MT-MTCYBP45",NA,"MT-MTCYBP45"
"DISP3","ENSG00000204624","ENSG00000204624"
"FBXO2","ENSG00000116661","ENSG00000116661"
"FBXO44","ENSG00000132879","ENSG00000132879"
"FBXO6","ENSG00000116663","ENSG00000116663"
"MAD2L2","ENSG00000116670","ENSG00000116670"
"DRAXIN","ENSG00000162490","ENSG00000162490"
"AGTRAP","ENSG00000177674","ENSG00000177674"
"C1orf167","ENSG00000215910","ENSG00000215910"
"MTHFR","ENSG00000177000","ENSG00000177000"
"CLCN6","ENSG00000011021","ENSG00000011021"
"NPPA","ENSG00000175206","ENSG00000175206"
"NPPB","ENSG00000120937","ENSG00000120937"
"SBF1P2","ENSG00000224904","ENSG00000224904"
"KIAA2013","ENSG00000116685","ENSG00000116685"
"PLOD1","ENSG00000083444","ENSG00000083444"
"MFN2","ENSG00000116688","ENSG00000116688"
"ENSG00000270914",NA,"ENSG00000270914"
"MIIP","ENSG00000116691","ENSG00000116691"
"TNFRSF8","ENSG00000120949","ENSG00000120949"
"RPL23AP89","ENSG00000227875","ENSG00000227875"
"TNFRSF1B","ENSG00000028137","ENSG00000028137"
"RPL10P17","ENSG00000225196","ENSG00000225196"
"VPS13D","ENSG00000048707","ENSG00000048707"
"DHRS3","ENSG00000162496","ENSG00000162496"
"AADACL4","ENSG00000204518","ENSG00000204518"
"ENSG00000226166",NA,"ENSG00000226166"
"AADACL3","ENSG00000188984","ENSG00000188984"
"CFAP107","ENSG00000157330","ENSG00000157330"
"PRAMEF12","ENSG00000116726","ENSG00000116726"
"PRAMEF1","ENSG00000116721","ENSG00000116721"
"PRAMEF11","ENSG00000281934","ENSG00000281934"
"PRAMEF30P","ENSG00000282116","ENSG00000282116"
"HNRNPCL1","ENSG00000282175","ENSG00000282175"
"PRAMEF2","ENSG00000282817","ENSG00000282817"
"PRAMEF4","ENSG00000282584","ENSG00000282584"
"PRAMEF10","ENSG00000282663","ENSG00000282663"
"PRAMEF7","ENSG00000279195","ENSG00000279195"
"PRAMEF29P","ENSG00000282549","ENSG00000282549"
"PRAMEF6","ENSG00000282119","ENSG00000282119"
"PRAMEF28P","ENSG00000282791","ENSG00000282791"
"PRAMEF27","ENSG00000282437","ENSG00000282437"
"HNRNPCL3","ENSG00000282559","ENSG00000282559"
"PRAMEF25","ENSG00000276299","ENSG00000276299"
"PRAMEF34P","ENSG00000282258","ENSG00000282258"
"PRAMEF35P","ENSG00000282562","ENSG00000282562"
"HNRNPCL2","ENSG00000282530","ENSG00000282530"
"PRAMEF36P","ENSG00000282468","ENSG00000282468"
"PRAMEF26","ENSG00000281987","ENSG00000281987"
"HNRNPCL4","ENSG00000282095","ENSG00000282095"
"PRAMEF9","ENSG00000282298","ENSG00000282298"
"PRAMEF13","ENSG00000282741","ENSG00000282741"
"PRAMEF18","ENSG00000277853","ENSG00000277853"
"PRAMEF31P","ENSG00000282289","ENSG00000282289"
"PRAMEF5","ENSG00000276420","ENSG00000276420"
"PRAMEF32P","ENSG00000282216","ENSG00000282216"
"PRAMEF8","ENSG00000278021","ENSG00000278021"
"PRAMEF33","ENSG00000282125","ENSG00000282125"
"PRAMEF15","ENSG00000204501","ENSG00000204501"
"PRAMEF14","ENSG00000204481","ENSG00000204481"
"PRAMEF19","ENSG00000204480","ENSG00000204480"
"PRAMEF17","ENSG00000204479","ENSG00000204479"
"PRAMEF20","ENSG00000204478","ENSG00000204478"
"LRRC38","ENSG00000162494","ENSG00000162494"
"BRWD1P1","ENSG00000215909","ENSG00000215909"
"PDPN","ENSG00000162493","ENSG00000162493"
"RNA5SP41","ENSG00000222952","ENSG00000222952"
"PRDM2","ENSG00000116731","ENSG00000116731"
"KAZN","ENSG00000189337","ENSG00000189337"
"TBCAP2","ENSG00000235829","ENSG00000235829"
"TMEM51","ENSG00000171729","ENSG00000171729"
"MFFP1","ENSG00000215720","ENSG00000215720"
"ZBTB2P1","ENSG00000278480","ENSG00000278480"
"FHAD1","ENSG00000142621","ENSG00000142621"
"EFHD2","ENSG00000142634","ENSG00000142634"
"CTRC","ENSG00000162438","ENSG00000162438"
"CELA2A","ENSG00000142615","ENSG00000142615"
"CELA2B","ENSG00000215704","ENSG00000215704"
"CASP9","ENSG00000132906","ENSG00000132906"
"DNAJC16","ENSG00000116138","ENSG00000116138"
"AGMAT","ENSG00000116771","ENSG00000116771"
"CHCHD2P6","ENSG00000235084","ENSG00000235084"
"CD24P1","ENSG00000236500","ENSG00000236500"
"DDI2","ENSG00000197312","ENSG00000197312"
"RSC1A1","ENSG00000215695","ENSG00000215695"
"PLEKHM2","ENSG00000116786","ENSG00000116786"
"SLC25A34","ENSG00000162461","ENSG00000162461"
"TMEM82","ENSG00000162460","ENSG00000162460"
"FBLIM1","ENSG00000162458","ENSG00000162458"
"RPL12P14","ENSG00000224321","ENSG00000224321"
"UQCRHL","ENSG00000233954","ENSG00000233954"
"ENSG00000178715",NA,"ENSG00000178715"
"SPEN","ENSG00000065526","ENSG00000065526"
"ENSG00000270620",NA,"ENSG00000270620"
"ZBTB17","ENSG00000116809","ENSG00000116809"
"ENSG00000234607",NA,"ENSG00000234607"
"ENSG00000231353",NA,"ENSG00000231353"
"ENSG00000275503",NA,"ENSG00000275503"
"TBC1D3P6","ENSG00000224966","ENSG00000224966"
"SRARP","ENSG00000183888","ENSG00000183888"
"HSPB7","ENSG00000173641","ENSG00000173641"
"CLCNKA","ENSG00000186510","ENSG00000186510"
"ENSG00000232456",NA,"ENSG00000232456"
"CLCNKB","ENSG00000184908","ENSG00000184908"
"FAM131C","ENSG00000185519","ENSG00000185519"
"EPHA2","ENSG00000142627","ENSG00000142627"
"ARHGEF19","ENSG00000142632","ENSG00000142632"
"ANO7L1","ENSG00000237276","ENSG00000237276"
"CPLANE2","ENSG00000132881","ENSG00000132881"
"MT1XP1","ENSG00000233929","ENSG00000233929"
"FBXO42","ENSG00000037637","ENSG00000037637"
"SZRD1","ENSG00000055070","ENSG00000055070"
"RPL22P3","ENSG00000226457","ENSG00000226457"
"SPATA21","ENSG00000187144","ENSG00000187144"
"NECAP2","ENSG00000157191","ENSG00000157191"
"CROCCP3","ENSG00000080947","ENSG00000080947"
"PDE4DIPP8","ENSG00000225710","ENSG00000225710"
"NBPF1","ENSG00000219481","ENSG00000219481"
"CROCCP2","ENSG00000215908","ENSG00000215908"
"ENSG00000283773",NA,"ENSG00000283773"
"MST1P2","ENSG00000186301","ENSG00000186301"
"ENSG00000280114",NA,"ENSG00000280114"
"EIF1AXP1","ENSG00000236698","ENSG00000236698"
"ESPNP","ENSG00000268869","ENSG00000268869"
"CROCC","ENSG00000058453","ENSG00000058453"
"CROCCP4","ENSG00000227684","ENSG00000227684"
"MST1L","ENSG00000186715","ENSG00000186715"
"PDE4DIPP9","ENSG00000230239","ENSG00000230239"
"ENSG00000235241",NA,"ENSG00000235241"
"MFAP2","ENSG00000117122","ENSG00000117122"
"ATP13A2","ENSG00000159363","ENSG00000159363"
"SDHB","ENSG00000117118","ENSG00000117118"
"PADI2","ENSG00000117115","ENSG00000117115"
"PADI1","ENSG00000281459","ENSG00000281459"
"PADI3","ENSG00000280549","ENSG00000280549"
"PADI4","ENSG00000280908","ENSG00000280908"
"PADI6","ENSG00000280949","ENSG00000280949"
"RCC2","ENSG00000281540","ENSG00000281540"
"ARHGEF10L","ENSG00000074964","ENSG00000074964"
"ACTL8","ENSG00000117148","ENSG00000117148"
"IGSF21","ENSG00000117154","ENSG00000117154"
"KLHDC7A","ENSG00000179023","ENSG00000179023"
"DYNLL1P3","ENSG00000235282","ENSG00000235282"
"ENSG00000225478",NA,"ENSG00000225478"
"PAX7","ENSG00000009709","ENSG00000009709"
"TAS1R2","ENSG00000179002","ENSG00000179002"
"ENSG00000255275",NA,"ENSG00000255275"
"ALDH4A1","ENSG00000159423","ENSG00000159423"
"IFFO2","ENSG00000169991","ENSG00000169991"
"UBR4","ENSG00000127481","ENSG00000127481"
"EMC1","ENSG00000127463","ENSG00000127463"
"MRTO4","ENSG00000053372","ENSG00000053372"
"ENSG00000286064",NA,"ENSG00000286064"
"AKR7L","ENSG00000211454","ENSG00000211454"
"AKR7A3","ENSG00000162482","ENSG00000162482"
"ENSG00000270728",NA,"ENSG00000270728"
"AKR7A2","ENSG00000053371","ENSG00000053371"
"SLC66A1","ENSG00000040487","ENSG00000040487"
"CAPZB","ENSG00000077549","ENSG00000077549"
"MICOS10","ENSG00000173436","ENSG00000173436"
"NBL1","ENSG00000158747","ENSG00000158747"
"MICOS10-NBL1","ENSG00000270136","ENSG00000270136"
"ENSG00000226396",NA,"ENSG00000226396"
"HTR6","ENSG00000158748","ENSG00000158748"
"TMCO4","ENSG00000162542","ENSG00000162542"
"RNF186","ENSG00000178828","ENSG00000178828"
"OTUD3","ENSG00000169914","ENSG00000169914"
"PLA2G2E","ENSG00000188784","ENSG00000188784"
"PLA2G2A","ENSG00000188257","ENSG00000188257"
"PLA2G5","ENSG00000127472","ENSG00000127472"
"PLA2G2D","ENSG00000117215","ENSG00000117215"
"PLA2G2F","ENSG00000158786","ENSG00000158786"
"PLA2G2C","ENSG00000187980","ENSG00000187980"
"UBXN10","ENSG00000162543","ENSG00000162543"
"VWA5B1","ENSG00000158816","ENSG00000158816"
"CAMK2N1","ENSG00000162545","ENSG00000162545"
"MUL1","ENSG00000090432","ENSG00000090432"
"RPS4XP4","ENSG00000215520","ENSG00000215520"
"FAM43B","ENSG00000183114","ENSG00000183114"
"CDA","ENSG00000158825","ENSG00000158825"
"PINK1","ENSG00000158828","ENSG00000158828"
"DDOST","ENSG00000244038","ENSG00000244038"
"KIF17","ENSG00000117245","ENSG00000117245"
"ENSG00000235432",NA,"ENSG00000235432"
"SH2D5","ENSG00000189410","ENSG00000189410"
"HP1BP3","ENSG00000127483","ENSG00000127483"
"EIF4G3","ENSG00000075151","ENSG00000075151"
"RPS15AP6","ENSG00000233072","ENSG00000233072"
"ENSG00000236073",NA,"ENSG00000236073"
"HSPE1P27","ENSG00000235112","ENSG00000235112"
"ECE1","ENSG00000117298","ENSG00000117298"
"PPP1R11P1","ENSG00000236216","ENSG00000236216"
"PDE4DIPP10","ENSG00000228823","ENSG00000228823"
"NBPF2P","ENSG00000227001","ENSG00000227001"
"HS6ST1P1","ENSG00000187952","ENSG00000187952"
"CROCCP5","ENSG00000186543","ENSG00000186543"
"NBPF3","ENSG00000142794","ENSG00000142794"
"PFN1P10","ENSG00000176378","ENSG00000176378"
"ALPL","ENSG00000162551","ENSG00000162551"
"RAP1GAP","ENSG00000076864","ENSG00000076864"
"USP48","ENSG00000090686","ENSG00000090686"
"ENSG00000231978",NA,"ENSG00000231978"
"LDLRAD2","ENSG00000187942","ENSG00000187942"
"HSPG2","ENSG00000142798","ENSG00000142798"
"ENSG00000232037",NA,"ENSG00000232037"
"ENSG00000283234",NA,"ENSG00000283234"
"CELA3B","ENSG00000219073","ENSG00000219073"
"CELA3A","ENSG00000142789","ENSG00000142789"
"CDC42","ENSG00000070831","ENSG00000070831"
"ENSG00000285794",NA,"ENSG00000285794"
"MPHOSPH6P1","ENSG00000271428","ENSG00000271428"
"WNT4","ENSG00000162552","ENSG00000162552"
"PPIAP34","ENSG00000234397","ENSG00000234397"
"ZBTB40","ENSG00000184677","ENSG00000184677"
"EPHA8","ENSG00000070886","ENSG00000070886"
"C1QA","ENSG00000173372","ENSG00000173372"
"C1QC","ENSG00000159189","ENSG00000159189"
"C1QB","ENSG00000173369","ENSG00000173369"
"EPHB2","ENSG00000133216","ENSG00000133216"
"LACTBL1","ENSG00000215906","ENSG00000215906"
"TEX46","ENSG00000227868","ENSG00000227868"
"KDM1A","ENSG00000004487","ENSG00000004487"
"LUZP1","ENSG00000169641","ENSG00000169641"
"ENSG00000229010",NA,"ENSG00000229010"
"HTR1D","ENSG00000179546","ENSG00000179546"
"ENSG00000215381",NA,"ENSG00000215381"
"HNRNPR","ENSG00000282958","ENSG00000282958"
"ZNF436","ENSG00000283009","ENSG00000283009"
"TCEA3","ENSG00000282941","ENSG00000282941"
"ENSG00000232482",NA,"ENSG00000232482"
"ASAP3","ENSG00000282854","ENSG00000282854"
"E2F2","ENSG00000282899","ENSG00000282899"
"ID3","ENSG00000283060","ENSG00000283060"
"ENSG00000229239",NA,"ENSG00000229239"
"RPL11","ENSG00000142676","ENSG00000142676"
"ELOA","ENSG00000011007","ENSG00000011007"
"PITHD1","ENSG00000057757","ENSG00000057757"
"LYPLA2","ENSG00000011009","ENSG00000011009"
"GALE","ENSG00000117308","ENSG00000117308"
"HMGCL","ENSG00000117305","ENSG00000117305"
"FUCA1","ENSG00000179163","ENSG00000179163"
"CNR2","ENSG00000188822","ENSG00000188822"
"BTBD6P1","ENSG00000229106","ENSG00000229106"
"H3P1","ENSG00000230228","ENSG00000230228"
"PNRC2","ENSG00000189266","ENSG00000189266"
"SRSF10","ENSG00000188529","ENSG00000188529"
"ENSG00000215905",NA,"ENSG00000215905"
"MYOM3","ENSG00000142661","ENSG00000142661"
"IL22RA1","ENSG00000142677","ENSG00000142677"
"IFNLR1","ENSG00000185436","ENSG00000185436"
"GRHL3","ENSG00000158055","ENSG00000158055"
"STPG1","ENSG00000001460","ENSG00000001460"
"NIPAL3","ENSG00000001461","ENSG00000001461"
"RCAN3","ENSG00000117602","ENSG00000117602"
"NCMAP","ENSG00000184454","ENSG00000184454"
"ENSG00000227312",NA,"ENSG00000227312"
"SRRM1","ENSG00000133226","ENSG00000133226"
"CLIC4","ENSG00000169504","ENSG00000169504"
"RUNX3","ENSG00000020633","ENSG00000020633"
"IFITM3P7","ENSG00000233419","ENSG00000233419"
"SYF2","ENSG00000117614","ENSG00000117614"
"RSRP1","ENSG00000117616","ENSG00000117616"
"ENSG00000261349",NA,"ENSG00000261349"
"RHD","ENSG00000187010","ENSG00000187010"
"SDHDP6","ENSG00000224183","ENSG00000224183"
"ENSG00000259984",NA,"ENSG00000259984"
"TMEM50A","ENSG00000183726","ENSG00000183726"
"RHCE","ENSG00000188672","ENSG00000188672"
"ENSG00000238084",NA,"ENSG00000238084"
"MACO1","ENSG00000204178","ENSG00000204178"
"LDLRAP1","ENSG00000157978","ENSG00000157978"
"MAN1C1","ENSG00000117643","ENSG00000117643"
"SELENON","ENSG00000162430","ENSG00000162430"
"ENSG00000255054",NA,"ENSG00000255054"
"MTFR1L","ENSG00000117640","ENSG00000117640"
"AUNIP","ENSG00000127423","ENSG00000127423"
"PAQR7","ENSG00000182749","ENSG00000182749"
"STMN1","ENSG00000117632","ENSG00000117632"
"SNRPFP2","ENSG00000229786","ENSG00000229786"
"ENSG00000223624",NA,"ENSG00000223624"
"PAFAH2","ENSG00000158006","ENSG00000158006"
"EXTL1","ENSG00000158008","ENSG00000158008"
"SLC30A2","ENSG00000158014","ENSG00000158014"
"TRIM63","ENSG00000158022","ENSG00000158022"
"PDIK1L","ENSG00000175087","ENSG00000175087"
"FAM110D","ENSG00000197245","ENSG00000197245"
"C1orf232","ENSG00000282872","ENSG00000282872"
"ZNF593OS","ENSG00000236782","ENSG00000236782"
"ZNF593","ENSG00000142684","ENSG00000142684"
"CNKSR1","ENSG00000142675","ENSG00000142675"
"CATSPER4","ENSG00000188782","ENSG00000188782"
"ZPLD2P","ENSG00000236155","ENSG00000236155"
"ENSG00000278572",NA,"ENSG00000278572"
"CEP85","ENSG00000130695","ENSG00000130695"
"ENSG00000270733",NA,"ENSG00000270733"
"SH3BGRL3","ENSG00000142669","ENSG00000142669"
"UBXN11","ENSG00000158062","ENSG00000158062"
"CD52","ENSG00000169442","ENSG00000169442"
"CRYBG2","ENSG00000176092","ENSG00000176092"
"ENSG00000225854",NA,"ENSG00000225854"
"ZNF683","ENSG00000176083","ENSG00000176083"
"LIN28A","ENSG00000131914","ENSG00000131914"
"DHDDS","ENSG00000117682","ENSG00000117682"
"ENSG00000223583",NA,"ENSG00000223583"
"HMGN2","ENSG00000198830","ENSG00000198830"
"DPPA2P2","ENSG00000281316","ENSG00000281316"
"RPS6KA1","ENSG00000281877","ENSG00000281877"
"ENSG00000229247",NA,"ENSG00000229247"
"ENSG00000235069",NA,"ENSG00000235069"
"ARID1A","ENSG00000117713","ENSG00000117713"
"PIGV","ENSG00000060642","ENSG00000060642"
"ZDHHC18","ENSG00000204160","ENSG00000204160"
"SFN","ENSG00000175793","ENSG00000175793"
"GPN2","ENSG00000142751","ENSG00000142751"
"GPATCH3","ENSG00000198746","ENSG00000198746"
"NUDC","ENSG00000090273","ENSG00000090273"
"NR0B2","ENSG00000131910","ENSG00000131910"
"KDF1","ENSG00000175707","ENSG00000175707"
"RPL12P13","ENSG00000172746","ENSG00000172746"
"RPL32P6","ENSG00000224064","ENSG00000224064"
"OSTCP2","ENSG00000225294","ENSG00000225294"
"TRNP1","ENSG00000253368","ENSG00000253368"
"TENT5B","ENSG00000158246","ENSG00000158246"
"SLC9A1","ENSG00000090020","ENSG00000090020"
"ENSG00000229985",NA,"ENSG00000229985"
"CHCHD3P3","ENSG00000214973","ENSG00000214973"
